id,first_name,last_name,email,gender,job_title,amount
11,"Davidde","Legier","dlegier0@mail.ru","Agender","Editor",86.5
12,"Panchito","Scirman","pscirman1@kickstarter.com","Male","Junior Executive",36.18
13,"Chic","Ickowics","cickowics2@booking.com","Male","Research Associate",35.54
14,"Pascale","Jedrzaszkiewicz","pjedrzaszkiewicz3@auda.org.au","Male","Safety Technician IV",73.21
15,"Sara","Whiterod","swhiterod4@hhs.gov","Female","Assistant Manager",47.85
16,"Mariska","Antrum","mantrum5@nytimes.com","Female","Tax Accountant",16.37
17,"Ingemar","Petrus","ipetrus6@blogspot.com","Male","Chief Design Engineer",49.02
18,"Anstice","Hollingdale","ahollingdale7@yahoo.co.jp","Female","Cost Accountant",21.94
19,"Chaunce","Holdforth","choldforth8@ca.gov","Non-binary","Chief Design Engineer",72.0
20,"Blinni","Fenty","bfenty9@paginegialle.it","Female","Assistant Media Planner",38.98
