extract_date,load_flag,id,first_name,last_name,email,gender,job_title,amount
"2008-01-01 00:00:00","I",1,"Davidde","Legier","dlegier0@mail.ru","Agender","Editor",86.5
"2008-01-01 00:00:00","I",2,"Panchito","Scirman","pscirman1@kickstarter.com","Male","Junior Executive",36.18
"2008-01-01 00:00:00","I",3,"Chic","Ickowics","cickowics2@booking.com","Male","Research Associate",35.54
"2008-01-01 00:00:00","I",4,"Pascale","Jedrzaszkiewicz","pjedrzaszkiewicz3@auda.org.au","Male","Safety Technician IV",73.21
"2008-01-01 00:00:00","I",5,"Sara","Whiterod","swhiterod4@hhs.gov","Female","Assistant Manager",47.85
"2008-01-01 00:00:00","I",6,"Mariska","Antrum","mantrum5@nytimes.com","Female","Tax Accountant",16.37
"2008-01-01 00:00:00","I",7,"Ingemar","Petrus","ipetrus6@blogspot.com","Male","Chief Design Engineer",49.02
"2008-01-01 00:00:00","I",8,"Anstice","Hollingdale","ahollingdale7@yahoo.co.jp","Female","Cost Accountant",21.94
"2008-01-01 00:00:00","I",9,"Chaunce","Holdforth","choldforth8@ca.gov","Non-binary","Chief Design Engineer",72.0
"2008-01-01 00:00:00","I",10,"Blinni","Fenty","bfenty9@paginegialle.it","Female","Assistant Media Planner",38.98
